epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.018005749965204473,0.07941060126582278,0.49367088607594933
0,8.76653242111206,0.014184879538203986,0.5440431769722817,0.8500133262260122,0.0044243854258350914,0.8305973101265822,0.9781447784810128
1,17.62884783744812,0.0032180777494249524,0.8789812100213223,0.9923873933901923,0.002404236166569982,0.8959651898734179,0.984473892405063
2,26.532084465026855,0.002173490449736541,0.9169942697228148,0.9959021855010658,0.0017605965393941699,0.9232594936708861,0.9869462025316461
3,35.35248064994812,0.0016408626316313836,0.937150186567164,0.9973347547974413,0.0013281907819493678,0.9395767405063291,0.9875395569620253
4,44.150965213775635,0.0013066328034228854,0.9496934968017061,0.9980177238805975,0.0010459855260291353,0.9492681962025314,0.9883306962025316
5,53.07711100578308,0.0010773759974570865,0.9582389392324097,0.9985840884861408,0.000875678641069165,0.9561906645569621,0.9885284810126583
6,61.928483963012695,0.0009245207579285181,0.9641691098081021,0.9986673773987209,0.000790544497698348,0.9574762658227852,0.9886273734177212
7,70.8915798664093,0.0008112756952545096,0.9688499466950959,0.9988006396588486,0.000703851897717097,0.96153085443038,0.9886273734177212
8,79.86368107795715,0.000720557131703252,0.971565165245203,0.9989172441364608,0.0006267563635849947,0.965288765822785,0.9887262658227851
9,88.66922545433044,0.0006579459641254876,0.9742304104477614,0.9988839285714283,0.0006035160968397727,0.9654865506329118,0.9886273734177212
10,97.46679067611694,0.000603929240401012,0.9763459488272924,0.9989838752665238,0.0005265240304283847,0.968057753164557,0.9888251582278479
11,106.41794776916504,0.0005657657199366235,0.9771621801705758,0.9990171908315567,0.0005027410355161253,0.970134493670886,0.9888251582278479
12,115.57051515579224,0.0005273667479790044,0.9791277985074625,0.9990505063965883,0.0005232761936031813,0.9694422468354431,0.9888251582278479
13,124.74948120117188,0.0004977942564460663,0.980060634328358,0.9990505063965887,0.00043964327439621395,0.9717167721518989,0.9887262658227851
14,133.8234601020813,0.0004734282611219187,0.9809268390191896,0.9991171375266517,0.0004268967983667217,0.9732990506329116,0.9887262658227851
15,142.5387020111084,0.00044800638481711495,0.9820928837953089,0.9991837686567168,0.0004535077479391199,0.9711234177215191,0.9888251582278479
16,151.46293306350708,0.0004290913354136546,0.9828757995735603,0.9992337420042644,0.0004173903694554378,0.9729034810126581,0.9888251582278479
17,160.24456453323364,0.000412377380674257,0.9835754264392326,0.9991504530916847,0.0003760391354596403,0.9743868670886074,0.9888251582278479
18,168.99724864959717,0.00039492319336317127,0.9841084754797438,0.9992503997867807,0.00037394281113985845,0.9735957278481011,0.9889240506329114
19,177.78240990638733,0.00037652199692396904,0.984808102345416,0.9992503997867799,0.0003952209632891163,0.9743868670886073,0.9888251582278479
